EDV-Nr./Bezeichnung;Beschreibung;Preiseinheit;Preis
Titel;AC-MONTAGE WECHSELRICHTER Fronius;;
Untertitel;Montage und Lieferung Fronius Wechselrichter;;
Beschreibung_fett;Materialien:;;
;- Fronius Wechselrichter GEN24 inkl. Smart Energy Meter;;
;- DC-Überspannungsschutz;;
;- Zuleitung Wechselrichter;;
;- Netzwerkleitung;;
;-Notwendiges Kleinmaterial und Leitungen;;
Beschreibung_fett;Leistungen:;;
;- Montage und Anschluss Wechselrichter;;
;- Leitungsverlegung String- und Erdungsleitung bis Wechselrichter (Aufputz) maximal 20 m Kabel im weißen Kunststoff oder weißen Blechkanal;;
;- Anschluss an die Zähleranlage;;
;- Inbetriebnahme;;
;- Restmaterial-/Verpackungsmüllentsorgung;;
;- Anmeldung und Registrierung im Marktstammdatenregister;;
;;;
;Wechselrichter 3.0 (3,0 kW);€/Stk.;999999,99
;Wechselrichter 4.0 (4,0 kW);€/Stk.;999999,99
;Wechselrichter 5.0 (5,0 kW);€/Stk.;999999,99
;Wechselrichter 6.0 (6,0 kW);€/Stk.;999999,99
;Wechselrichter 7.0 (8,0 kW);€/Stk.;999999,99
;Wechselrichter 10.0 (10,0 kW);€/Stk.;999999,99
;Wechselrichter 15.0 (15,0 kW);€/Stk.;999999,99
